Partial Empirical Reward Distribution: {0.1: 1.0}
Agent checkpoint saved at iteration 0 in 3.
Model checkpoint saved at iteration 0 in 3.
Partial Empirical Reward Distribution: {0.1: 0.9455645161290323, 30: 0.05342741935483871, 300: 0.0010080645161290322}
Partial Empirical Reward Distribution: {0.1: 0.9600409836065574, 30: 0.03944672131147541, 300: 0.0005122950819672131}
Partial Empirical Reward Distribution: {0.1: 0.970467032967033, 30: 0.02918956043956044, 300: 0.00034340659340659343}
Partial Empirical Reward Distribution: {0.1: 0.971849173553719, 30: 0.027892561983471075, 300: 0.00025826446280991736}
Partial Empirical Reward Distribution: {0.1: 0.9753725165562914, 30: 0.024420529801324503, 300: 0.00020695364238410596}
Partial Empirical Reward Distribution: {0.1: 0.9780732044198895, 30: 0.02175414364640884, 300: 0.00017265193370165745}
Partial Empirical Reward Distribution: {0.1: 0.9803021327014217, 30: 0.01940165876777251, 300: 0.0002962085308056872}
Partial Empirical Reward Distribution: {0.1: 0.9813278008298755, 30: 0.01841286307053942, 300: 0.00025933609958506224}
Partial Empirical Reward Distribution: {0.1: 0.9831642066420664, 30: 0.016605166051660517, 300: 0.00023062730627306272}
Partial Empirical Reward Distribution: {0.1: 0.9847383720930233, 30: 0.015053986710963455, 300: 0.00020764119601328904}
Partial Empirical Reward Distribution: {0.1: 0.9860271903323263, 30: 0.013783987915407855, 300: 0.00018882175226586103}
Partial Empirical Reward Distribution: {0.1: 0.9871883656509696, 30: 0.012638504155124654, 300: 0.00017313019390581717}
Partial Empirical Reward Distribution: {0.1: 0.9878516624040921, 30: 0.01198849104859335, 300: 0.00015984654731457802}
Partial Empirical Reward Distribution: {0.1: 0.9886431116389549, 30: 0.011208432304038004, 300: 0.0001484560570071259}
Partial Empirical Reward Distribution: {0.1: 0.989329268292683, 30: 0.010532150776053215, 300: 0.0001385809312638581}
Partial Empirical Reward Distribution: {0.1: 0.9896699584199584, 30: 0.01020010395010395, 300: 0.00012993762993762994}
Partial Empirical Reward Distribution: {0.1: 0.990154109589041, 30: 0.00972358121330724, 300: 0.0001223091976516634}
Partial Empirical Reward Distribution: {0.1: 0.9904112754158965, 30: 0.00941543438077634, 300: 0.0001732902033271719}
Partial Empirical Reward Distribution: {0.1: 0.9908056042031523, 30: 0.009030210157618214, 300: 0.00016418563922942207}
Partial Empirical Reward Distribution: {0.1: 0.9912125623960066, 30: 0.008631447587354409, 300: 0.0001559900166389351}
Partial Empirical Reward Distribution: {0.1: 0.9916, 30: 0.00825, 300: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.99405, 30: 0.00585, 300: 0.0001}
Partial Empirical Reward Distribution: {0.1: 0.9946, 30: 0.0053, 300: 0.0001}
Partial Empirical Reward Distribution: {0.1: 0.99475, 30: 0.00515, 300: 0.0001}
Partial Empirical Reward Distribution: {0.1: 0.99555, 30: 0.00425, 300: 0.0002}
Partial Empirical Reward Distribution: {0.1: 0.9959, 30: 0.0039, 300: 0.0002}
Partial Empirical Reward Distribution: {0.1: 0.99555, 30: 0.00425, 300: 0.0002}
Partial Empirical Reward Distribution: {0.1: 0.99545, 30: 0.0044, 300: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.9954, 30: 0.00445, 300: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.99475, 30: 0.005, 300: 0.00025}
Partial Empirical Reward Distribution: {0.1: 0.99375, 30: 0.006, 300: 0.00025}
Partial Empirical Reward Distribution: {0.1: 0.9931, 30: 0.00665, 300: 0.00025}
Partial Empirical Reward Distribution: {0.1: 0.9906, 30: 0.00915, 300: 0.00025}
Agent checkpoint saved at iteration 1000 in 3.
Model checkpoint saved at iteration 1000 in 3.
Partial Empirical Reward Distribution: {0.1: 0.98785, 30: 0.01185, 300: 0.0003}
Partial Empirical Reward Distribution: {0.1: 0.9855, 30: 0.0142, 300: 0.0003}
Partial Empirical Reward Distribution: {0.1: 0.98135, 30: 0.01815, 300: 0.0005}
Partial Empirical Reward Distribution: {0.1: 0.98025, 30: 0.01925, 300: 0.0005}
Partial Empirical Reward Distribution: {0.1: 0.97895, 300: 0.00055, 30: 0.0205}
Partial Empirical Reward Distribution: {0.1: 0.9773, 30: 0.02205, 300: 0.00065}
Partial Empirical Reward Distribution: {0.1: 0.9767, 30: 0.02265, 300: 0.00065}
Partial Empirical Reward Distribution: {0.1: 0.975, 30: 0.0243, 300: 0.0007}
Partial Empirical Reward Distribution: {0.1: 0.97125, 30: 0.02795, 300: 0.00075, 3000: 5e-05}
Partial Empirical Reward Distribution: {0.1: 0.96905, 30: 0.03005, 300: 0.0008, 3000: 0.0001}
Partial Empirical Reward Distribution: {0.1: 0.9661, 30: 0.03295, 300: 0.00085, 3000: 0.0001}
Partial Empirical Reward Distribution: {0.1: 0.9649, 30: 0.0341, 300: 0.00085, 3000: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.9648, 30: 0.0342, 300: 0.00085, 3000: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.96485, 30: 0.03415, 300: 0.00085, 3000: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.96315, 30: 0.03575, 300: 0.00095, 3000: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.96095, 30: 0.03795, 300: 0.00095, 3000: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.96, 300: 0.00095, 30: 0.0389, 3000: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.95875, 30: 0.04005, 300: 0.00105, 3000: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.95625, 30: 0.0422, 300: 0.0014, 3000: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.95345, 30: 0.04485, 300: 0.00155, 3000: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.95125, 30: 0.04705, 300: 0.00155, 3000: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.95115, 30: 0.0472, 300: 0.0015, 3000: 0.00015}
Partial Empirical Reward Distribution: {0.1: 0.9502, 30: 0.04665, 300: 0.0024, 3000: 0.00075}
Partial Empirical Reward Distribution: {0.1: 0.95405, 30: 0.04295, 300: 0.00225, 3000: 0.00075}
Partial Empirical Reward Distribution: {0.1: 0.9491, 30: 0.0476, 300: 0.0025, 3000: 0.0008}
Partial Empirical Reward Distribution: {0.1: 0.9439, 30: 0.0524, 300: 0.00285, 3000: 0.00085}
Partial Empirical Reward Distribution: {0.1: 0.9326, 30: 0.06305, 300: 0.0033, 3000: 0.00105}
Partial Empirical Reward Distribution: {0.1: 0.9253, 30: 0.06965, 300: 0.0039, 3000: 0.00115}
Partial Empirical Reward Distribution: {0.1: 0.92295, 30: 0.07145, 3000: 0.0013, 300: 0.0043}
Partial Empirical Reward Distribution: {0.1: 0.91875, 30: 0.074, 3000: 0.00155, 300: 0.0057}
Partial Empirical Reward Distribution: {0.1: 0.91185, 30: 0.0799, 300: 0.0067, 3000: 0.00155}
Partial Empirical Reward Distribution: {0.1: 0.9108, 30: 0.0804, 300: 0.00725, 3000: 0.00155}
Partial Empirical Reward Distribution: {0.1: 0.9114, 300: 0.00725, 30: 0.0798, 3000: 0.00155}
Agent checkpoint saved at iteration 2000 in 3.
Model checkpoint saved at iteration 2000 in 3.
Partial Empirical Reward Distribution: {0.1: 0.91035, 30: 0.08085, 300: 0.00725, 3000: 0.00155}
Partial Empirical Reward Distribution: {0.1: 0.90765, 30: 0.08315, 300: 0.00765, 3000: 0.00155}
Partial Empirical Reward Distribution: {0.1: 0.90495, 30: 0.08555, 300: 0.00785, 3000: 0.00165}
Partial Empirical Reward Distribution: {0.1: 0.90675, 30: 0.08345, 300: 0.0081, 3000: 0.0017}
Partial Empirical Reward Distribution: {0.1: 0.9038, 30: 0.0858, 300: 0.0085, 3000: 0.0019}
Partial Empirical Reward Distribution: {0.1: 0.90175, 300: 0.00915, 30: 0.0868, 3000: 0.0023}
Partial Empirical Reward Distribution: {0.1: 0.89655, 30: 0.0892, 300: 0.0107, 3000: 0.00355}
Partial Empirical Reward Distribution: {0.1: 0.8905, 30: 0.09115, 300: 0.013, 3000: 0.00535}
Partial Empirical Reward Distribution: {0.1: 0.8776, 30: 0.0948, 300: 0.01825, 3000: 0.00935}
Partial Empirical Reward Distribution: {0.1: 0.8613, 30: 0.10535, 300: 0.02215, 3000: 0.0112}
Partial Empirical Reward Distribution: {0.1: 0.85815, 30: 0.1066, 300: 0.02265, 3000: 0.0126}
Partial Empirical Reward Distribution: {0.1: 0.84765, 30: 0.11215, 3000: 0.015, 300: 0.0252}
Partial Empirical Reward Distribution: {0.1: 0.84205, 30: 0.1147, 300: 0.02735, 3000: 0.0159}
Partial Empirical Reward Distribution: {0.1: 0.8378, 30: 0.11545, 300: 0.02895, 3000: 0.0178}
