Empirical Reward Distribution: {2.5e-05: 1.0}
Empirical Reward Distribution: {2.5e-05: 0.9801980198019802, 1: 0.018564356435643563, 32: 0.0012376237623762376}
Empirical Reward Distribution: {2.5e-05: 0.9900497512437811, 1: 0.009328358208955223, 32: 0.0006218905472636816}
Empirical Reward Distribution: {2.5e-05: 0.9933554817275747, 1: 0.006229235880398671, 32: 0.0004152823920265781}
Empirical Reward Distribution: {2.5e-05: 0.9950124688279302, 1: 0.0046758104738154616, 32: 0.0003117206982543641}
Empirical Reward Distribution: {2.5e-05: 0.9960079840319361, 1: 0.0037425149700598802, 32: 0.000249500998003992}
Empirical Reward Distribution: {2.5e-05: 0.9966722129783694, 1: 0.003119800332778702, 32: 0.00020798668885191348}
Empirical Reward Distribution: {2.5e-05: 0.9851997146932953, 1: 0.013017118402282453, 32: 0.0016048502139800285, 1024: 0.0001783166904422254}
Empirical Reward Distribution: {2.5e-05: 0.9382022471910112, 1: 0.04915730337078652, 32: 0.010455680399500624, 1024: 0.00031210986267166043, 3125: 0.00015605493133583021, 243: 0.0017166042446941324}
Empirical Reward Distribution: {2.5e-05: 0.9142619311875694, 1: 0.06659267480577137, 32: 0.015815760266370698, 1024: 0.000416204217536071, 3125: 0.00013873473917869035, 243: 0.002774694783573807}
Empirical Reward Distribution: {2.5e-05: 0.8984765234765235, 1: 0.07904595404595405, 32: 0.018731268731268732, 1024: 0.0003746253746253746, 3125: 0.00012487512487512488, 243: 0.003246753246753247}
Empirical Reward Distribution: {2.5e-05: 0.8903269754768393, 1: 0.08424159854677565, 32: 0.021571298819255222, 1024: 0.0003405994550408719, 3125: 0.00011353315168029064, 243: 0.0034059945504087193}
Empirical Reward Distribution: {2.5e-05: 0.8959200666111574, 1: 0.08045378850957535, 32: 0.019983347210657785, 1024: 0.0003122398001665279, 3125: 0.00010407993338884263, 243: 0.0032264779350541215}
Empirical Reward Distribution: {2.5e-05: 0.9020945426594927, 1: 0.07571099154496541, 32: 0.018735588009223675, 1024: 0.00028823981552651804, 3125: 9.607993850883935e-05, 243: 0.0030745580322828594}
Empirical Reward Distribution: {2.5e-05: 0.9077444682369736, 1: 0.07155603140613848, 32: 0.01748750892219843, 1024: 0.0002676659528907923, 3125: 8.922198429693076e-05, 243: 0.0028551034975017845}
Empirical Reward Distribution: {2.5e-05: 0.9117255163224517, 1: 0.06837108594270486, 32: 0.016655562958027982, 1024: 0.0002498334443704197, 3125: 8.327781479013991e-05, 243: 0.0029147235176548965}
Empirical Reward Distribution: {2.5e-05: 0.9152873204247346, 1: 0.06581823860087445, 32: 0.015771392879450345, 1024: 0.00023422860712054967, 3125: 7.807620237351655e-05, 243: 0.0028107432854465957}
Empirical Reward Distribution: {2.5e-05: 0.918503821281599, 1: 0.06349206349206349, 32: 0.01506466784244562, 1024: 0.0002204585537918871, 3125: 7.348618459729571e-05, 243: 0.0026455026455026454}
Empirical Reward Distribution: {2.5e-05: 0.9228206551915602, 1: 0.060174902831760135, 32: 0.014228206551915602, 1024: 0.0002082176568573015, 3125: 6.94058856191005e-05, 243: 0.002498611882287618}
Empirical Reward Distribution: {2.5e-05: 0.9245791688584956, 1: 0.05911362440820621, 32: 0.013677012098895318, 1024: 0.00019726459758022093, 3125: 6.575486586007364e-05, 243: 0.002367175170962651}
Empirical Reward Distribution: {2.5e-05: 0.926911544227886, 1: 0.05753373313343328, 32: 0.013055972013993004, 1024: 0.0001874062968515742, 3125: 6.24687656171914e-05, 243: 0.0022488755622188904}
Empirical Reward Distribution: {2.5e-05: 0.9288434079009995, 1: 0.05610423607805807, 32: 0.012672536887196573, 1024: 0.00017848643503093765, 3125: 5.949547834364588e-05, 243: 0.002141837220371252}
Empirical Reward Distribution: {2.5e-05: 0.9302589731940027, 1: 0.05514538845979101, 32: 0.01226715129486597, 1024: 0.00017037710131758292, 3125: 5.679236710586097e-05, 243: 0.002101317582916856}
Empirical Reward Distribution: {2.5e-05: 0.9322033898305084, 1: 0.05361799217731421, 32: 0.011951325510647544, 1024: 0.00016297262059973924, 3125: 5.432420686657975e-05, 243: 0.0020099956540634506}
Empirical Reward Distribution: {2.5e-05: 0.9338817159516868, 1: 0.05242607246980425, 32: 0.01155768429820908, 1024: 0.00015618492294877136, 3125: 5.2061640982923784e-05, 243: 0.0019262807163681799}
Empirical Reward Distribution: {2.5e-05: 0.935875649740104, 1: 0.050979608156737306, 32: 0.011095561775289885, 1024: 0.00014994002399040384, 3125: 4.998000799680128e-05, 243: 0.0018492602958816474}
Empirical Reward Distribution: {2.5e-05: 0.93699538638985, 1: 0.05022106881968474, 32: 0.010813148788927335, 1024: 0.0001441753171856978, 3125: 4.805843906189927e-05, 243: 0.001778162245290273}
Empirical Reward Distribution: {2.5e-05: 0.9379859311366161, 1: 0.04951869677897075, 32: 0.010551647537948908, 1024: 0.0001388374676045909, 3125: 4.6279155868196966e-05, 243: 0.0017586079229914846}
Empirical Reward Distribution: {2.5e-05: 0.9385933595144591, 1: 0.04900035701535166, 32: 0.010487325955016065, 1024: 0.00013388075687254553, 3125: 4.4626918957515175e-05, 243: 0.0017404498393430918}
Empirical Reward Distribution: {2.5e-05: 0.9390296449500173, 1: 0.04869010685970355, 32: 0.010384350224060668, 1024: 0.00012926577042399174, 3125: 4.3088590141330577e-05, 243: 0.001723543605653223}
Empirical Reward Distribution: {2.5e-05: 0.9400616461179607, 1: 0.047900699766744416, 32: 0.010204931689436855, 1024: 0.00012495834721759413, 3125: 4.165278240586471e-05, 243: 0.0016661112962345886}
Empirical Reward Distribution: {2.5e-05: 0.9416720412770074, 1: 0.046678490809416315, 32: 0.009875846501128669, 1024: 0.00012092873266688165, 3125: 4.0309577555627215e-05, 243: 0.0016123831022250886}
Empirical Reward Distribution: {2.5e-05: 0.9415807560137457, 1: 0.047094657919400186, 32: 0.009606373008434864, 1024: 0.00011715089034676664, 3125: 3.9050296782255544e-05, 243: 0.001562011871290222}
Empirical Reward Distribution: {2.5e-05: 0.9405483186913056, 1: 0.04835655861860042, 32: 0.009391093607997577, 1024: 0.0001136019388064223, 3125: 3.78673129354741e-05, 243: 0.001552559830354438}
Empirical Reward Distribution: {2.5e-05: 0.9403851808291679, 1: 0.04866215818876801, 32: 0.009298735665980594, 1024: 0.00011026168773890033, 3125: 3.675389591296677e-05, 243: 0.0015069097324316378}
Empirical Reward Distribution: {2.5e-05: 0.9407669237360754, 1: 0.04852185089974293, 32: 0.009104541559554412, 1024: 0.00010711225364181663, 3125: 3.570408454727221e-05, 243: 0.0014638674664381604}
Empirical Reward Distribution: {2.5e-05: 0.9400513746181616, 1: 0.04932657595112469, 32: 0.009025270758122744, 1024: 0.00010413773951680089, 3125: 3.471257983893363e-05, 243: 0.0014579283532352124}
Empirical Reward Distribution: {2.5e-05: 0.9339705485004053, 1: 0.05488381518508511, 32: 0.009423128884085382, 1024: 0.00013509862199405565, 3125: 3.377465549851391e-05, 243: 0.0015536341529316401}
Empirical Reward Distribution: {2.5e-05: 0.918442515127598, 1: 0.0702446724546172, 32: 0.00950407787424362, 1024: 0.00016443041304919757, 3125: 3.288608260983952e-05, 243: 0.0016114180478821363}
Empirical Reward Distribution: {2.5e-05: 0.899352730069213, 1: 0.08927198154319406, 32: 0.009548833632401948, 1024: 0.00016021532940271724, 3125: 3.204306588054345e-05, 243: 0.001634196359907716}
Empirical Reward Distribution: {2.5e-05: 0.8812171957010747, 1: 0.10691077230692327, 32: 0.009935016245938516, 1024: 0.0001562109472631842, 3125: 3.124218945263684e-05, 243: 0.0017495626093476631}
Empirical Reward Distribution: {2.5e-05: 0.8701841014386735, 1: 0.11762375030480371, 32: 0.010210924164837844, 1024: 0.000152401853206535, 3125: 3.0480370641307e-05, 243: 0.001798341867837113}
Empirical Reward Distribution: {2.5e-05: 0.856046179481076, 1: 0.1309509640561771, 32: 0.010890264222804095, 1024: 0.0001487741014044275, 3125: 2.9754820280885503e-05, 243: 0.0019340633182575576}
Empirical Reward Distribution: {2.5e-05: 0.8444547779586142, 1: 0.1415077888863055, 32: 0.01174145547547082, 1024: 0.00014531504301325274, 3125: 2.9063008602650547e-05, 243: 0.0021215996279934897}
Empirical Reward Distribution: {2.5e-05: 0.8335605544194501, 1: 0.15002272210861167, 32: 0.013434446716655305, 1024: 0.00014201317882299477, 3125: 2.8402635764598956e-05, 243: 0.0028118609406952966}
Empirical Reward Distribution: {2.5e-05: 0.82251166407465, 1: 0.15915907576094201, 32: 0.014968895800933127, 1024: 0.00013885803154854476, 3125: 2.7771606309708954e-05, 243: 0.0031937347256165297}
Empirical Reward Distribution: {2.5e-05: 0.8131656161703977, 1: 0.16659421864811996, 32: 0.01619213214518583, 1024: 0.00021734405564007825, 3125: 2.716800695500978e-05, 243: 0.0038035209737013694}
Empirical Reward Distribution: {2.5e-05: 0.8011061476281642, 1: 0.17839289512869602, 32: 0.01635290363752393, 1024: 0.00021272069772388852, 3125: 2.6590087215486065e-05, 243: 0.003908742820676452}
Empirical Reward Distribution: {2.5e-05: 0.7924651114351177, 1: 0.18543011872526557, 32: 0.01752239116850656, 1024: 0.00020828993959591752, 3125: 2.603624244948969e-05, 243: 0.004348052489064778}
Empirical Reward Distribution: {2.5e-05: 0.7859365435625383, 1: 0.1907773923689043, 32: 0.01836359926545603, 1024: 0.00022954499081820036, 3125: 2.550499897980004e-05, 243: 0.004667414813303407}
Empirical Reward Distribution: {2.5e-05: 0.7757698460307938, 1: 0.20018496300739852, 32: 0.01889622075584883, 1024: 0.0002499500099980004, 3125: 2.499500099980004e-05, 243: 0.004874025194961008}
Empirical Reward Distribution: {2.5e-05: 0.7691629092334836, 1: 0.20692021172319153, 32: 0.01884434424622623, 1024: 0.00024504999019800037, 3125: 2.450499901980004e-05, 243: 0.004802979807880808}
Empirical Reward Distribution: {2.5e-05: 0.7633628148432994, 1: 0.21226687175543166, 32: 0.01917900403768506, 1024: 0.0002403383964622188, 3125: 2.403383964622188e-05, 243: 0.004926937127475485}
Empirical Reward Distribution: {2.5e-05: 0.7583710620637616, 1: 0.21625636672325976, 32: 0.019807583474816072, 1024: 0.0002829654782116582, 3125: 2.358045651763818e-05, 243: 0.005258441803433315}
Empirical Reward Distribution: {2.5e-05: 0.7507406035919274, 1: 0.22350027772634698, 32: 0.02008887243103129, 1024: 0.0002777263469727828, 3125: 2.3143862247731902e-05, 243: 0.005369376041473801}
Empirical Reward Distribution: {2.5e-05: 0.7451826940556262, 1: 0.22818578440283585, 32: 0.02074622795855299, 1024: 0.0002726776949645519, 3125: 2.272314124704599e-05, 243: 0.005589892746773314}
Empirical Reward Distribution: {2.5e-05: 0.7375245491876451, 1: 0.23540439207284414, 32: 0.020933761828244957, 1024: 0.0003124442063917158, 3125: 2.231744331369398e-05, 243: 0.005802535261560436}
Empirical Reward Distribution: {2.5e-05: 0.7289510612173303, 1: 0.24300561305034205, 32: 0.02172864409752675, 1024: 0.00032888966847921416, 3125: 2.192597789861428e-05, 243: 0.0059638659884230835}
Empirical Reward Distribution: {2.5e-05: 0.723345112911567, 1: 0.2474142389243234, 32: 0.022733149456990173, 1024: 0.00032322013445957595, 3125: 2.154800896397173e-05, 243: 0.0061627305636959145}
Empirical Reward Distribution: {2.5e-05: 0.7193907812235214, 1: 0.2509744111167599, 32: 0.02291984409422132, 1024: 0.0003389256058295204, 3125: 2.1182850364345025e-05, 243: 0.006354855109303508}
Empirical Reward Distribution: {2.5e-05: 0.7157348775204133, 1: 0.2540826528911848, 32: 0.023371104815864022, 1024: 0.00037493751041493085, 3125: 2.0829861689718382e-05, 243: 0.0064155974004332615}
Empirical Reward Distribution: {2.5e-05: 0.712137354532044, 1: 0.2568841173578102, 32: 0.023950991640714635, 1024: 0.00036879200131126046, 3125: 2.0488444517292246e-05, 243: 0.006638256023602688}
Empirical Reward Distribution: {2.5e-05: 0.7073052733430092, 1: 0.2612683438155136, 32: 0.024229962909208192, 1024: 0.0003830027414933075, 3125: 2.0158039025963555e-05, 243: 0.006793259151749718}
Empirical Reward Distribution: {2.5e-05: 0.701, 1: 0.26646, 32: 0.02506, 1024: 0.0004, 3125: 2e-05, 243: 0.00706}
Empirical Reward Distribution: {2.5e-05: 0.69328, 1: 0.27338, 32: 0.0256, 1024: 0.0004, 3125: 2e-05, 243: 0.00732}
Empirical Reward Distribution: {2.5e-05: 0.68532, 1: 0.28066, 32: 0.02614, 1024: 0.0004, 3125: 2e-05, 243: 0.00746}
Empirical Reward Distribution: {2.5e-05: 0.68102, 1: 0.28404, 32: 0.02684, 1024: 0.00042, 3125: 2e-05, 243: 0.00766}
Empirical Reward Distribution: {2.5e-05: 0.67338, 1: 0.29116, 32: 0.02724, 1024: 0.00044, 3125: 2e-05, 243: 0.00776}
Empirical Reward Distribution: {2.5e-05: 0.66396, 1: 0.29958, 32: 0.0279, 1024: 0.00046, 3125: 2e-05, 243: 0.00808}
Empirical Reward Distribution: {2.5e-05: 0.65426, 1: 0.30858, 32: 0.02842, 1024: 0.00046, 3125: 2e-05, 243: 0.00826}
Empirical Reward Distribution: {1: 0.3114, 32: 0.02842, 2.5e-05: 0.6512, 243: 0.0085, 1024: 0.00048}
Empirical Reward Distribution: {2.5e-05: 0.6494, 32: 0.0283, 1: 0.31326, 243: 0.00856, 1024: 0.00048}
Empirical Reward Distribution: {2.5e-05: 0.64576, 1: 0.31676, 32: 0.02814, 243: 0.00888, 1024: 0.00046}
Empirical Reward Distribution: {2.5e-05: 0.64072, 32: 0.02782, 1: 0.32196, 243: 0.00904, 1024: 0.00046}
Empirical Reward Distribution: {2.5e-05: 0.6347, 1: 0.32716, 243: 0.00932, 32: 0.02836, 1024: 0.00046}
Empirical Reward Distribution: {2.5e-05: 0.62782, 1: 0.33262, 32: 0.02946, 243: 0.00964, 1024: 0.00046}
Empirical Reward Distribution: {2.5e-05: 0.62008, 1: 0.3395, 32: 0.03016, 243: 0.0098, 1024: 0.00046}
Empirical Reward Distribution: {2.5e-05: 0.61414, 1: 0.34462, 32: 0.03078, 243: 0.00996, 1024: 0.0005}
Empirical Reward Distribution: {2.5e-05: 0.6077, 1: 0.34994, 32: 0.0317, 243: 0.01016, 1024: 0.0005}
Empirical Reward Distribution: {2.5e-05: 0.60208, 32: 0.0322, 1: 0.35492, 243: 0.01028, 1024: 0.00052}
Empirical Reward Distribution: {2.5e-05: 0.5963, 1: 0.35984, 32: 0.0329, 243: 0.01044, 1024: 0.00052}
Empirical Reward Distribution: {2.5e-05: 0.5918, 1: 0.36374, 32: 0.03328, 243: 0.01066, 1024: 0.00052}
Empirical Reward Distribution: {2.5e-05: 0.58708, 1: 0.3678, 32: 0.03382, 243: 0.01076, 1024: 0.00054}
Empirical Reward Distribution: {2.5e-05: 0.58396, 1: 0.3703, 32: 0.0343, 243: 0.01088, 1024: 0.00056}
Empirical Reward Distribution: {2.5e-05: 0.58084, 32: 0.03502, 1: 0.3725, 243: 0.01108, 1024: 0.00056}
Empirical Reward Distribution: {2.5e-05: 0.57836, 1: 0.3745, 32: 0.0354, 243: 0.01118, 1024: 0.00056}
Empirical Reward Distribution: {2.5e-05: 0.57364, 1: 0.37846, 32: 0.03604, 243: 0.01128, 1024: 0.00058}
Empirical Reward Distribution: {2.5e-05: 0.56898, 1: 0.382, 32: 0.03692, 243: 0.01152, 1024: 0.00058}
Empirical Reward Distribution: {2.5e-05: 0.56486, 32: 0.0375, 1: 0.3854, 243: 0.01166, 1024: 0.00058}
Empirical Reward Distribution: {2.5e-05: 0.56164, 1: 0.38814, 32: 0.03782, 243: 0.01182, 1024: 0.00058}
Empirical Reward Distribution: {2.5e-05: 0.55774, 32: 0.03814, 1: 0.39164, 243: 0.0119, 1024: 0.00058}
Empirical Reward Distribution: {2.5e-05: 0.55262, 1: 0.39618, 32: 0.03852, 243: 0.01208, 1024: 0.0006}
Empirical Reward Distribution: {2.5e-05: 0.5486, 1: 0.39968, 32: 0.03882, 243: 0.0123, 1024: 0.0006}
Empirical Reward Distribution: {2.5e-05: 0.5452, 1: 0.40236, 32: 0.03942, 243: 0.0124, 1024: 0.00062}
Empirical Reward Distribution: {2.5e-05: 0.54162, 1: 0.40522, 32: 0.03982, 243: 0.0127, 1024: 0.00064}
Empirical Reward Distribution: {2.5e-05: 0.54, 1: 0.4063, 32: 0.04028, 243: 0.01278, 1024: 0.00064}
Empirical Reward Distribution: {2.5e-05: 0.53698, 1: 0.40846, 32: 0.0409, 243: 0.01298, 1024: 0.00068}
Empirical Reward Distribution: {2.5e-05: 0.53532, 1: 0.4097, 243: 0.01312, 32: 0.04118, 1024: 0.00068}
Empirical Reward Distribution: {2.5e-05: 0.53232, 32: 0.04138, 1: 0.4123, 243: 0.0133, 1024: 0.0007}
Empirical Reward Distribution: {1: 0.41386, 2.5e-05: 0.53068, 32: 0.04144, 1024: 0.0007, 243: 0.01332}
Empirical Reward Distribution: {1: 0.4102, 2.5e-05: 0.5341, 243: 0.01348, 1024: 0.0007, 32: 0.04152}
Empirical Reward Distribution: {1: 0.39974, 2.5e-05: 0.54382, 32: 0.04202, 243: 0.01374, 1024: 0.00068}
Empirical Reward Distribution: {1: 0.39018, 2.5e-05: 0.55342, 32: 0.04196, 243: 0.01376, 1024: 0.00068}
Empirical Reward Distribution: {1: 0.38176, 2.5e-05: 0.56144, 32: 0.0423, 243: 0.01382, 1024: 0.00068}
Empirical Reward Distribution: {1: 0.37538, 2.5e-05: 0.56792, 32: 0.04212, 243: 0.0139, 1024: 0.00068}
Empirical Reward Distribution: {1: 0.36892, 2.5e-05: 0.5748, 32: 0.04174, 243: 0.01382, 1024: 0.00072}
Empirical Reward Distribution: {1: 0.36154, 243: 0.01374, 2.5e-05: 0.58288, 32: 0.04108, 1024: 0.00076}
Empirical Reward Distribution: {1: 0.35674, 2.5e-05: 0.58848, 32: 0.04054, 243: 0.01348, 1024: 0.00076}
Empirical Reward Distribution: {1: 0.35334, 2.5e-05: 0.59338, 32: 0.03944, 243: 0.01312, 1024: 0.00072}
Empirical Reward Distribution: {1: 0.34498, 2.5e-05: 0.6015, 32: 0.03958, 243: 0.01322, 1024: 0.00072}
Empirical Reward Distribution: {1: 0.33792, 32: 0.03948, 2.5e-05: 0.6087, 243: 0.01312, 1024: 0.00078}
Empirical Reward Distribution: {2.5e-05: 0.61348, 243: 0.01282, 1: 0.33408, 32: 0.03882, 1024: 0.0008}
Empirical Reward Distribution: {1: 0.32808, 2.5e-05: 0.61982, 32: 0.03866, 243: 0.01262, 1024: 0.00082}
Empirical Reward Distribution: {1: 0.3221, 2.5e-05: 0.62598, 32: 0.03846, 243: 0.01264, 1024: 0.00082}
Empirical Reward Distribution: {1: 0.31686, 2.5e-05: 0.6311, 32: 0.03844, 243: 0.01272, 1024: 0.00088}
Empirical Reward Distribution: {1: 0.31396, 2.5e-05: 0.63384, 243: 0.01268, 32: 0.03868, 1024: 0.00084}
Empirical Reward Distribution: {1: 0.31082, 2.5e-05: 0.63758, 32: 0.03824, 243: 0.01252, 1024: 0.00084}
Empirical Reward Distribution: {1: 0.30442, 2.5e-05: 0.64438, 32: 0.03802, 243: 0.01234, 1024: 0.00084}
Empirical Reward Distribution: {1: 0.29846, 2.5e-05: 0.65048, 32: 0.0379, 243: 0.01232, 1024: 0.00084}
Empirical Reward Distribution: {1: 0.29056, 2.5e-05: 0.6586, 32: 0.03774, 243: 0.01226, 1024: 0.00084}
Empirical Reward Distribution: {1: 0.28354, 2.5e-05: 0.66674, 243: 0.01204, 32: 0.03684, 1024: 0.00084}
Empirical Reward Distribution: {1: 0.27854, 2.5e-05: 0.6726, 32: 0.0362, 243: 0.01184, 1024: 0.00082}
Empirical Reward Distribution: {1: 0.2748, 2.5e-05: 0.67674, 32: 0.03586, 243: 0.01182, 1024: 0.00078}
Empirical Reward Distribution: {1: 0.27114, 2.5e-05: 0.68104, 32: 0.03534, 243: 0.0117, 1024: 0.00078}
Empirical Reward Distribution: {1: 0.26644, 32: 0.0354, 2.5e-05: 0.68578, 243: 0.0116, 1024: 0.00078}
Empirical Reward Distribution: {1: 0.26106, 2.5e-05: 0.69168, 32: 0.0349, 243: 0.0116, 1024: 0.00076}
Empirical Reward Distribution: {1: 0.25824, 2.5e-05: 0.69448, 32: 0.03492, 243: 0.01154, 1024: 0.00082}
Empirical Reward Distribution: {1: 0.2539, 2.5e-05: 0.69836, 32: 0.0353, 243: 0.0116, 1024: 0.00084}
Empirical Reward Distribution: {1: 0.2517, 32: 0.0356, 2.5e-05: 0.7003, 243: 0.01158, 1024: 0.00082}
Empirical Reward Distribution: {1: 0.2516, 2.5e-05: 0.70064, 243: 0.01156, 32: 0.0354, 1024: 0.0008}
Empirical Reward Distribution: {1: 0.24574, 2.5e-05: 0.7064, 32: 0.03556, 243: 0.01148, 1024: 0.00082}
Empirical Reward Distribution: {1: 0.24014, 2.5e-05: 0.71188, 32: 0.03576, 243: 0.01142, 1024: 0.0008}
Empirical Reward Distribution: {1: 0.23452, 2.5e-05: 0.71774, 32: 0.0357, 243: 0.01126, 1024: 0.00078}
Empirical Reward Distribution: {1: 0.23182, 2.5e-05: 0.7214, 32: 0.03512, 243: 0.0109, 1024: 0.00076}
Empirical Reward Distribution: {2.5e-05: 0.72622, 1: 0.22786, 32: 0.03462, 243: 0.01054, 1024: 0.00076}
Empirical Reward Distribution: {1: 0.22374, 2.5e-05: 0.7306, 243: 0.01034, 32: 0.03452, 1024: 0.0008}
Empirical Reward Distribution: {1: 0.21808, 2.5e-05: 0.73666, 32: 0.03432, 243: 0.01014, 1024: 0.0008}
Empirical Reward Distribution: {1: 0.21616, 2.5e-05: 0.73922, 32: 0.03374, 243: 0.01008, 1024: 0.0008}
Empirical Reward Distribution: {1: 0.21074, 2.5e-05: 0.74512, 32: 0.0333, 243: 0.01004, 1024: 0.0008}
Empirical Reward Distribution: {243: 0.00998, 2.5e-05: 0.74728, 1: 0.20876, 32: 0.03316, 1024: 0.00082}
Empirical Reward Distribution: {2.5e-05: 0.75148, 243: 0.00986, 1: 0.2053, 32: 0.03256, 1024: 0.0008}
Empirical Reward Distribution: {1: 0.20224, 2.5e-05: 0.75486, 32: 0.0323, 243: 0.00978, 1024: 0.00082}
Empirical Reward Distribution: {1: 0.19876, 2.5e-05: 0.75888, 32: 0.03186, 243: 0.00968, 1024: 0.00082}
Empirical Reward Distribution: {1: 0.19596, 2.5e-05: 0.7619, 243: 0.00958, 32: 0.03174, 1024: 0.00082}
Empirical Reward Distribution: {1: 0.1944, 2.5e-05: 0.76286, 32: 0.03218, 243: 0.0097, 1024: 0.00086}
Empirical Reward Distribution: {2.5e-05: 0.7638, 1: 0.19336, 32: 0.0321, 243: 0.00992, 1024: 0.00082}
Empirical Reward Distribution: {2.5e-05: 0.76374, 32: 0.0321, 1: 0.19328, 243: 0.01004, 1024: 0.00084}
Empirical Reward Distribution: {1: 0.19406, 2.5e-05: 0.76312, 243: 0.01008, 32: 0.0319, 1024: 0.00084}
Empirical Reward Distribution: {2.5e-05: 0.76358, 1: 0.19348, 32: 0.03202, 243: 0.01006, 1024: 0.00086}
Empirical Reward Distribution: {32: 0.03146, 1: 0.19114, 2.5e-05: 0.76652, 243: 0.00998, 1024: 0.0009}
Empirical Reward Distribution: {2.5e-05: 0.76792, 1: 0.18984, 32: 0.0314, 243: 0.00994, 1024: 0.0009}
Empirical Reward Distribution: {2.5e-05: 0.76826, 1: 0.1895, 32: 0.03138, 243: 0.00992, 1024: 0.00094}
Empirical Reward Distribution: {1: 0.18822, 2.5e-05: 0.7696, 32: 0.03138, 243: 0.00986, 1024: 0.00094}
Empirical Reward Distribution: {1: 0.18574, 2.5e-05: 0.7721, 32: 0.03132, 243: 0.00988, 1024: 0.00096}
Empirical Reward Distribution: {2.5e-05: 0.77414, 32: 0.03154, 1: 0.18346, 243: 0.00986, 1024: 0.001}
Empirical Reward Distribution: {1: 0.18312, 2.5e-05: 0.77414, 32: 0.0317, 243: 0.01, 1024: 0.00104}
Empirical Reward Distribution: {1: 0.18324, 2.5e-05: 0.77404, 32: 0.03174, 243: 0.0099, 1024: 0.00108}
Empirical Reward Distribution: {2.5e-05: 0.7719, 1: 0.18464, 32: 0.03242, 243: 0.00994, 1024: 0.0011}
Empirical Reward Distribution: {2.5e-05: 0.7706, 1: 0.18612, 32: 0.0322, 243: 0.01, 1024: 0.00108}
Empirical Reward Distribution: {2.5e-05: 0.76958, 32: 0.03242, 1: 0.1866, 243: 0.0103, 1024: 0.0011}
Empirical Reward Distribution: {2.5e-05: 0.7679, 1: 0.1874, 32: 0.03302, 1024: 0.00114, 243: 0.01054}
Empirical Reward Distribution: {2.5e-05: 0.76802, 32: 0.03352, 1: 0.18664, 243: 0.01066, 1024: 0.00116}
Empirical Reward Distribution: {2.5e-05: 0.76676, 1: 0.18714, 32: 0.03402, 243: 0.01088, 1024: 0.0012}
Empirical Reward Distribution: {2.5e-05: 0.76502, 1: 0.18864, 32: 0.0342, 243: 0.0109, 1024: 0.00124}
Empirical Reward Distribution: {2.5e-05: 0.76346, 1: 0.18946, 32: 0.03486, 243: 0.01096, 1024: 0.00126}
Empirical Reward Distribution: {2.5e-05: 0.763, 1: 0.1895, 243: 0.01116, 32: 0.03506, 1024: 0.00128}
Empirical Reward Distribution: {2.5e-05: 0.76326, 1: 0.1887, 243: 0.0112, 32: 0.03554, 1024: 0.0013}
Empirical Reward Distribution: {1: 0.18952, 2.5e-05: 0.76162, 32: 0.03622, 243: 0.01136, 1024: 0.00128}
Empirical Reward Distribution: {2.5e-05: 0.76144, 1: 0.18946, 32: 0.03636, 243: 0.0114, 1024: 0.00134}
Empirical Reward Distribution: {1: 0.18868, 2.5e-05: 0.76196, 32: 0.03658, 243: 0.01144, 1024: 0.00134}
Empirical Reward Distribution: {2.5e-05: 0.76292, 1: 0.18742, 32: 0.03684, 243: 0.01146, 1024: 0.00136}
Empirical Reward Distribution: {2.5e-05: 0.7626, 1: 0.18782, 243: 0.01138, 32: 0.03682, 1024: 0.00138}
Empirical Reward Distribution: {243: 0.01154, 2.5e-05: 0.7617, 1: 0.18826, 32: 0.03716, 1024: 0.00134}
Empirical Reward Distribution: {1: 0.18804, 2.5e-05: 0.76176, 243: 0.0117, 32: 0.0372, 1024: 0.0013}
